,label,name,price,img,loc
42,헤어토닉,그로우어스 데미지 테라피 두피 스케일링 앰플 50ml,22800,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0016/A00000016349205ko.jpg?l=ko,C-555
43,헤어토닉,[두피영양토닉]아로마티카 로즈마리 루트인핸서 100ml 죠르디 에디션(죠르디 스티커+세안밴드),13600,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018436303ko.jpg?l=ko,C-643
44,헤어토닉,다슈 안티헤어로스 허브 헤어토닉 150ml (탈모증상완화도움 기능성),10800,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0010/A00000010256007ko.jpg?l=ko,C-548
45,헤어토닉,[한정기획]루톤 여성두피용 알파에르겐 탈모 토닉150ml+샴푸100ml 증정 기획,17800,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0017/A00000017372101ko.jpg?l=ko,C-905
46,세럼/앰플,[염색애프터케어] 려 루트젠 탈모전문케어 두피에센스 80ml,19900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018349506ko.jpg?l=ko,D-748
47,세럼/앰플,줄라이미 두피 에센스 콜드부스터 200ml+100ml (탈모완화도움),17960,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0016/A00000016728414ko.jpg?l=ko,D-704
48,세럼/앰플,라이아 탈모증상완화 두피코어강화 에센스 샴푸 400ml,20000,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0017/A00000017431919ko.jpg?l=ko,D-698
49,세럼/앰플,라보에이치 탈모케어 스칼프헤어 에센스 미스트팩 240ml [노워시 트리트먼트],18900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0015/A00000015281807ko.jpg?l=ko,D-994
50,세럼/앰플,라보에이치 에센스 미스트팩 240ml (패들브러쉬 증정),21900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0016/A00000016443107ko.jpg?l=ko,D-842
51,세럼/앰플,클로란 퀴닌 에델바이스 두피 세럼 100ml(두피활력&모발강화),32000,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0015/A00000015778519ko.jpg?l=ko,D-974
